Id;Label;FollowersCount;FriendsCount;StatusCount;club;chamber;homophily;degreeIn;degreeOut;degreeAll;membership
skwarekslawomir;skwarekslawomir;108;318;73;PiS;Sejm;1;14;136;150;2
piotrbabinetz;piotrbabinetz;203;201;204;PiS;Sejm;1;32;78;110;2
ambrozikrafa;ambrozikrafa;40;333;125;PiS;Senat;0,932038835;29;204;233;2
robert_warwas;robert_warwas;42;126;94;PiS;Sejm;1;24;91;115;2
arturdziambor;arturdziambor;26867;701;18274;Konfederacja;Sejm;0,078125;110;254;364;4
marcinociepa;marcinociepa;3715;1732;5145;PiS;Sejm;0,619047619;116;250;366;2
uruskipiotr;uruskipiotr;57;276;83;PiS;Sejm;0,785714286;18;138;156;2
mariakoc1;mariakoc1;3130;1449;4035;PiS;Senat;0,986666667;102;148;250;2
polamatysiak;polamatysiak;4659;888;21543;Lewica;Sejm;0,431818182;89;85;174;3
czarnekp;czarnekp;10432;556;3360;PiS;Sejm;0,858490566;186;210;396;2
sipieraaw;sipieraaw;552;180;68;PiS;Sejm;1;30;124;154;2
poselgonciarz;poselgonciarz;1557;853;1146;PiS;Sejm;0,986842105;60;150;210;2
jemilewicz;jemilewicz;20343;540;6549;PiS;Sejm;0,666666667;259;100;359;2
phreniak;phreniak;154;205;374;PiS;Sejm;1;26;102;128;2
rauzbigniew;rauzbigniew;511;1297;853;PiS;Sejm;0,826666667;58;148;206;2
grzegorzmatusi1;grzegorzmatusi1;405;443;464;PiS;Sejm;0,829545455;65;174;239;2
jacekswiat;jacekswiat;3904;969;5471;PiS;Sejm;0,942307692;146;102;248;2
f_sterczewski;f_sterczewski;10780;1903;3726;KO;Sejm;0,572519084;154;260;414;1
borysszopa;borysszopa;1475;79;293;PiS;Sejm;1;100;60;160;2
urszularusecka;urszularusecka;752;713;553;PiS;Sejm;0,905882353;94;338;432;2
andzelwaldemar;andzelwaldemar;1927;664;780;PiS;Sejm;0,964285714;96;166;262;2
agatawojtyszek;agatawojtyszek;223;234;269;PiS;Sejm;1;20;116;136;2
marek_ast;marek_ast;947;694;1132;PiS;Sejm;0,958677686;76;240;316;2
janczykwieslaw;janczykwieslaw;369;196;173;PiS;Sejm;1;66;52;118;2
a_milczanowska;a_milczanowska;1519;831;7024;PiS;Sejm;0,993243243;134;294;428;2
czeslawhoc;czeslawhoc;1400;216;560;PiS;Sejm;0,96969697;88;64;152;2
mwospl;mwospl;9941;738;1640;PiS;Sejm;0,761904762;195;208;403;2
v_porowska;v_porowska;2122;1274;4718;PiS;Sejm;0,823529412;86;168;254;2
kamilbortniczuk;kamilbortniczuk;10257;819;5137;PiS;Sejm;0,584070796;173;224;397;2
m_kaluzny;m_kaluzny;3198;1191;775;PiS;Sejm;0,882352941;58;168;226;2
marcin_duszek;marcin_duszek;793;554;355;PiS;Sejm;0,958333333;69;142;211;2
waldemar_buda;waldemar_buda;3265;554;1875;PiS;Sejm;0,648351648;175;180;355;2
piotruscinski;piotruscinski;1840;1140;2049;PiS;Sejm;0,973214286;109;222;331;2
jkardanowski;jkardanowski;5751;372;1045;PiS;Sejm;1;156;92;248;2
slawzawislak;slawzawislak;181;101;180;PiS;Sejm;1;28;44;72;2
akosztowniak;akosztowniak;703;624;738;PiS;Sejm;0,896103896;68;152;220;2
ewa_kozanecka;ewa_kozanecka;374;356;380;PiS;Sejm;1;66;198;264;2
witoldczarneck3;witoldczarneck3;173;66;172;PiS;Sejm;1;40;46;86;2
piotr77850675;piotr77850675;357;57;109;PiS;Sejm;1;42;42;84;2
mariusztrepka;mariusztrepka;487;1187;2737;PiS;Sejm;0,711538462;46;414;460;2
jacekkurzepa;jacekkurzepa;273;71;263;PiS;Sejm;1;42;50;92;2
zbabalski;zbabalski;191;92;87;PiS;Sejm;1;42;66;108;2
jerzy_paul;jerzy_paul;191;425;553;PiS;Sejm;0,957894737;34;188;222;2
weberrafal;weberrafal;753;152;590;PiS;Sejm;0,962962963;75;52;127;2
roberttelus;roberttelus;1417;678;1108;PiS;Sejm;0,917293233;118;264;382;2
janeklopata;janeklopata;725;912;4329;KP;Sejm;0,273684211;62;188;250;1
radekfogiel;radekfogiel;8963;1523;17598;PiS;Sejm;0,84057971;253;136;389;2
napieralski_g;napieralski_g;27072;2067;6519;KO;Sejm;0,505681818;245;350;595;1
zagorskimarek;zagorskimarek;3874;387;3494;PiS;Sejm;0,953846154;154;128;282;2
mariuszgosek;mariuszgosek;89;100;5;PiS;Sejm;0,5;4;30;34;2
szymongizynski;szymongizynski;532;109;388;PiS;Sejm;1;42;64;106;2
adamgaweda;adamgaweda;474;55;87;PiS;Sejm;1;26;16;42;2
wassermann_ma;wassermann_ma;46369;146;873;PiS;Sejm;1;317;50;367;2
szczurekzelazko;szczurekzelazko;743;162;768;PiS;Sejm;0,954545455;42;42;84;2
rychlik_pawel;rychlik_pawel;391;367;253;PiS;Sejm;0,927272727;24;107;131;2
danielmilewski;danielmilewski;1016;378;137;PiS;Sejm;0,700934579;52;212;264;2
mareksuski;mareksuski;10436;436;315;PiS;Sejm;0,946428571;227;110;337;2
w_bernacki;w_bernacki;2294;774;1891;PiS;Senat;0,938596491;145;226;371;2
annapaluchsejm;annapaluchsejm;306;48;1830;PiS;Sejm;1;34;32;66;2
ireneusz_zyska;ireneusz_zyska;1445;668;1134;PiS;Sejm;0,903846154;92;206;298;2
rozeckapl;rozeckapl;3679;503;764;PiS;Sejm;0,82278481;134;156;290;2
morawieckim;morawieckim;244828;43;771;PiS;Sejm;1;489;24;513;2
kkubow;kkubow;683;404;297;PiS;Sejm;0,984848485;76;262;338;2
ryszardterlecki;ryszardterlecki;22182;1399;753;PiS;Sejm;0,822429907;303;212;515;2
zbhoffmann;zbhoffmann;1170;942;1930;PiS;Sejm;1;68;162;230;2
krajewskiwies;krajewskiwies;502;121;255;PiS;Sejm;0,870967742;74;60;134;2
piotr_wawrzyk;piotr_wawrzyk;8245;254;6823;PiS;Sejm;0,952380952;96;40;136;2
lisieckipawel;lisieckipawel;9767;6721;8745;PiS;Sejm;0,815384615;204;165;369;2
barbara_dziuk;barbara_dziuk;715;336;7853;PiS;Sejm;0,958333333;70;94;164;2
kwiatkowski2011;kwiatkowski2011;34803;874;1925;Niezalezni;Senat;0,013422819;325;296;621;1
piotrglinski;piotrglinski;46142;284;2814;PiS;Sejm;1;381;98;479;2
d_piontkowski;d_piontkowski;4599;416;1798;PiS;Sejm;0,913043478;113;182;295;2
marek_pek;marek_pek;4354;789;18463;PiS;Senat;0,95049505;193;200;393;2
mosinskijan;mosinskijan;15965;2319;24078;PiS;Sejm;0,966292135;183;176;359;2
ctomczyk;ctomczyk;34076;2227;18401;KO;Sejm;0,578680203;368;392;760;1
krzysztofmslon;krzysztofmslon;38;33;4;PiS;Senat;0,923076923;8;24;32;2
piotr_borys;piotr_borys;3356;1287;3047;KO;Sejm;0,723076923;230;258;488;1
protasiewiczj;protasiewiczj;24626;658;11283;KP;Sejm;0,211267606;283;140;423;1
l_dobrzynski;l_dobrzynski;3390;202;12708;PiS;Sejm;1;137;82;219;2
ma_golinska;ma_golinska;1687;558;1374;PiS;Sejm;1;125;181;306;2
wmurdzek;wmurdzek;1306;114;2231;PiS;Sejm;1;86;60;146;2
agascigaj;agascigaj;5365;331;2183;KP;Sejm;0,339622642;108;104;212;2
jangrabiec;jangrabiec;32760;2087;25541;KO;Sejm;0,592964824;362;396;758;1
ozdobajacek;ozdobajacek;10446;1386;11558;PiS;Sejm;0,524691358;189;322;511;2
mwojcik_;mwojcik_;10063;1088;3561;PiS;Sejm;0,958333333;212;142;354;2
kulesza_pl;kulesza_pl;22748;2819;2934;Konfederacja;Sejm;0,058201058;163;376;539;4
dariusz_jonski;dariusz_jonski;18286;1080;6683;KO;Sejm;0,526315789;257;226;483;1
arturszalabawka;arturszalabawka;2883;981;9522;PiS;Sejm;0,975308642;119;160;279;2
borowiakjoanna;borowiakjoanna;2950;1547;5507;PiS;Sejm;0,986842105;167;302;469;2
